,pca,pca_umap,pca_tsne
PRPS1L1,0.999999996533076,0.069137653616292,0.0747978645133059
FERD3L,0.999999980998868,0.0944395762910933,0.439936581195541
NPVF,0.999999997811543,0.0395157950293192,0.0056640034294826
CDC14C,0.999999994276704,0.492123357915177,0.263500865836355
POM121L12,0.999999988820479,0.160304875902757,0.419250734247647
SPDYE16,0.999999990489872,0.0582919155863317,0.0487358693539205
TAC1,0.999999995712617,0.099123120446389,0.0937334249974253
SPDYE2,0.999999982270435,0.363774702965768,0.112352558153246
SPDYE2B,0.999999995772489,0.128177647311785,0.125452437121478
RNF133,0.999999987798554,0.222583553140411,0.183082434569115
RNF148,0.999999963223822,0.587647226694737,0.572214196819583
TMEM229A,0.99999999321995,0.162972738726126,0.173997728816369
TAS2R4,0.999999988857274,0.116015006864139,0.0484596799768802
TAS2R5,0.999999993329653,0.153556164971306,0.215696391663726
PRSS37,0.999999996470625,0.181438819730792,0.172740782818681
PRSS58,0.999999996072992,0.167928974131217,0.10642756457036
CTAGE15,0.9999999656892,0.231329358303383,0.395690882717683
OR2F2,0.999999992361674,0.295529213414083,0.299483681990024
OR2A25,0.999999995912565,0.0063032612730971,0.0315338317523209
OR2A42,0.999999978992494,0.0466031897360416,0.0164878073442498
OR2A7,0.999999979771508,0.10263563051079,0.859205229147848
OR2A1,0.999999987171915,0.375527612958549,0.129561652479157
TAS2R8,0.99999999003006,0.235523283163946,0.149954909533592
TAS2R9,0.999999963223822,0.587647226694737,0.572214196819583
TAS2R10,0.999999993547508,0.0080770497208225,0.0592536977722032
TAS2R50,0.999999993113201,0.0655935232168487,0.0037683452315133
TAS2R42,0.999999994642158,0.0951946083074741,0.0392889134212542
PRB4,0.999999995179313,0.135730405825458,0.108803074678026
CAPZA3,0.999999994155464,0.0872670654510933,0.0269152874590698
OR5BS1P,0.999999983071918,0.301995059323839,0.249659513539258
LALBA,0.999999994840973,0.123863960256996,0.149151840783515
OR10A7,0.999999977956003,0.325737939965278,0.296396083280254
OR6C74,0.999999975995925,0.540951174146091,0.565230887465492
OR6C6,0.999999994939697,0.17617580213972,0.115790344567519
OR6C75,0.999999971374463,0.441170587075631,0.494033135192266
OR6C65,0.99999998531788,0.247319860490539,0.361961768960859
OR6C76,0.99999998967924,0.705104352474557,0.473484231998289
OR2AP1,0.999999986605097,0.251234135618793,0.276072001867426
FAM71C,0.999999996234336,0.231838450285889,0.248664100745135
PMCH,0.999999987104799,0.0327228201386357,0.100385564353291
MRPL23,0.999999992822411,0.107900547069561,0.0666580326062749
SSU72P5,0.999999985268018,0.613975793562156,0.101945855207916
SSU72P4,0.999999982509924,0.0763153834912779,0.0686538348736828
SSU72P7,0.999999977514233,0.799861272968552,0.18077635651945
OR52B4,0.999999985165715,0.235238557998834,0.0311404121784925
OR52M1,0.999999991087382,0.153478253621788,0.177307723835222
OR51F1,0.999999994189265,0.258064270187711,0.199996303390408
OR52R1,0.999999985009802,0.570892452037156,0.201259853291702
OR51T1,0.999999995452866,0.383177443946727,0.443539588966423
OR51G1,0.999999991285323,0.0729283485703628,0.0257032905496651
OR51A4,0.999999996111931,0.0525451401706144,0.028566731942135
OR51A2,0.999999994092496,0.221160277151831,0.231763714892334
OR52J3,0.999999982627503,0.0472535413730217,0.048046126768529
OR52E2,0.99999999699854,0.248128467266994,0.21588935563231
OR51V1,0.999999981309657,0.255005620982246,0.239882913838129
HBB,0.999999996264969,0.169073344764557,0.176406985601586
HBG1,0.999999996679376,0.231558946165269,0.279000552813831
AC104389.6,0.999999994602004,0.272952771132766,0.274503344083035
OR51B4,0.999999993588223,0.273268986417058,0.306123660141958
OR51B2,0.999999991166903,0.222430544077115,0.233074710271582
OR51B6,0.999999995223166,0.193767022393142,0.286936945182297
UBQLN3,0.999999969184665,0.165451651792597,0.55273586533332
UBQLNL,0.999999990111391,0.0149115284488695,0.137466950927101
OR52H1,0.999999986834961,0.0329681241738499,0.0363879210504262
OR52E8,0.999999986977715,0.0891747637440413,0.0499372368682395
OR52L1,0.999999995651918,0.341552501475123,0.258277865192232
OR10A5,0.999999990686415,0.0413621472897459,0.0314640902597215
OR10A4,0.999999991120068,0.15219920500485,0.538272733935654
OR2D2,0.99999999666744,0.119751740699561,0.0469634417689397
OR2D3,0.999999983217577,0.342755940173819,0.115885861452345
RBMXL2,0.999999964874727,0.438549800762815,0.331230586428284
OR5P2,0.999999994146027,0.329086364805451,0.418993855603172
OR5P3,0.999999994316236,0.0432254353831971,0.0783914206507724
OR10A3,0.999999993209923,0.118089501895156,0.375269264838381
CSNK2A3,0.999999994863387,0.306939470612788,0.277546158082851
PTH,0.999999991283687,0.0228695983250134,0.0575873409341113
OR4B1,0.999999991154472,0.0062356144990724,0.0066838647218066
OR4X2,0.99999999085238,0.219497948451429,0.366462242360512
OR4S1,0.999999996138503,0.187391769754232,0.177783927402035
OR4C5,0.999999985841195,0.0068797509731154,0.0375050695996877
OR4A47,0.999999989976946,0.0830041879170238,0.206878731818333
TRIM49B,0.999999991606507,0.0534610529582419,0.0606887267892858
TRIM64C,0.999999992858603,0.211532702676599,0.437814029000765
OR4C13,0.999999979956928,0.076057121126374,0.0632710251696641
OR4C12,0.999999990307073,0.477963582648586,0.0849094324100128
OR4C46,0.999999985771023,0.0781603306945286,0.0399473452279217
OR4A5,0.999999976603553,0.480996535069887,0.18662154551016
OR4A16,0.999999995223493,0.0545895700607443,0.0808970787201042
OR4A15,0.999999983793062,0.0308206314162666,0.0295085445471938
OR4C15,0.999999992607803,0.272628592181011,0.228053746535707
OR4C11,0.999999993383569,0.13770471476054,0.170326649619147
OR4P4,0.999999983280236,0.0816565378396644,0.0860738580105345
OR5D3P,0.999999994232044,0.0236157050884697,0.0068405293714509
OR5D13,0.999999989003082,0.0093660173634437,0.0430380508725106
OR5D14,0.999999972767456,0.230936302381891,0.45008169489987
OR5L1,0.999999986200378,0.125468242913867,0.379409345533469
OR5D16,0.999999995698091,0.176377673415798,0.212656902423665
OR5I1,0.999999996839317,0.10498655585553,0.107055580796508
OR10AG1,0.999999988271079,0.0609538180160233,0.0735988935296491
OR5F1,0.999999992214824,0.235351999618137,0.334334599112234
OR8I2,0.99999999278676,0.0424194065006408,0.0390683288780235
OR8H2,0.999999993749399,0.0259460861508114,0.0136005062478609
OR8H3,0.999999993873191,0.0508359211820609,0.112978664772304
OR8K5,0.99999999373533,0.354598102957002,0.211164992444121
OR5J2,0.99999998816619,0.0109488940015068,0.0039609421325928
OR5T3,0.99999998967924,0.705104352474557,0.473484231998289
OR5R1,0.99999998930424,0.127114538215534,0.12621511877401
OR5M3,0.999999975650946,0.31421414043709,0.33297628203994
OR5M11,0.999999990031561,0.0065311193290194,0.10474747828437
OR5M10,0.999999989870828,0.0677731384617265,0.0323228986257674
OR5M1,0.999999995015582,0.355412056359268,0.19013137098426
OR5AP2,0.999999987175427,0.106152516049477,0.106310330147714
OR5AR1,0.999999985539882,0.0330685417499424,0.0474436632414341
OR5AK2,0.999999961229253,0.258644278939208,0.260015687171988
OR9I1,0.999999988076514,0.0130182657898671,0.0003773581361203
OR9Q2,0.999999989223506,0.0503915409354966,0.0105141203979733
OR1S2,0.999999991787802,0.216710980985333,0.286655112959952
OR1S1,0.999999985009802,0.570892452037156,0.201259853291702
OR10Q1,0.99999999357695,0.308717942344027,0.198050509243683
OR10W1,0.999999994065842,0.0106813860581049,0.02833468573811
OR5B3,0.999999985060788,0.0443453930370338,0.0089551611716356
OR5B12,0.999999996571383,0.0639185192599356,0.115769383569979
SCGB2A2,0.999999991789305,0.0561113404703976,0.029886596994157
KRTAP5-7,0.999999993497003,0.249270693523019,0.421054271151786
KRTAP5-8,0.999999994239653,0.200936697887361,0.416433824333968
DEFB108B,0.999999980751583,0.147061000946122,0.238778561773425
DEFB131B,0.999999994718598,0.136432902324255,0.1250296694307
TRIM49,0.999999991430259,0.23341133660426,0.284891004223613
TRIM64B,0.999999991542482,0.273061917732931,0.209005396312879
TRIM49D1,0.999999985379403,0.243823716610238,0.231835965609142
TRIM49C,0.999999994453268,0.0184026605208573,0.0326914784609307
IZUMO1R,0.999999987211403,0.358066196663337,0.258999251838027
KDM4E,0.999999996702976,0.0591440565441209,0.202915381263458
BLID,0.999999993495062,0.121620378813541,0.0665838628349814
OR6X1,0.999999988779649,0.0230128765347518,0.240141982699832
OR4D5,0.999999995018595,0.255878873602448,0.219165941040838
OR6T1,0.999999980671585,0.0497597167652889,0.15121647887758
OR10G6,0.999999986781673,0.0494476587493259,0.0119386001242869
OR10G9,0.999999992389217,0.0143400262548505,0.031136948290707
OR10G7,0.999999988580325,0.309940935015222,0.379441791306234
OR8B2,0.999999979188659,0.400689356472321,0.315937226465582
PATE1,0.99999999645898,0.126986785410526,0.169381063203935
PATE2,0.999999996970665,0.147920179154259,0.12100691509612
SPATA19,0.999999992807476,0.346528996251738,0.0779922223795888
DEFB131A,0.999999986333135,0.0578087021415135,0.0599278845870304
UGT2B28,0.999999991078265,0.0348790017613761,0.153618876613251
CABS1,0.999999977647598,0.252020405721475,0.188978533947048
GK2,0.999999994900204,0.0692118299775709,0.052725728540834
DSPP,0.999999994923689,0.0073336559856613,0.113440606325357
PDHA2,0.999999990177608,0.0123400175015965,0.029172190547478
TRAM1L1,0.999999990668767,0.420593811425933,0.443115644076475
