,pca,pca_umap,pca_tsne
AL513220.1,0.999999994313349,0.0599430221724175,0.0887824328387404
EPHA10,0.999999980116821,0.0401258493759431,0.0832306296888841
AL929472.2,0.999999993992732,0.0054444160457506,0.10639538801319
POU3F1,0.999999991761426,0.154901950369413,0.0778539850124625
MIR3659HG,0.99999998251687,0.283194308807026,0.679997323374577
LINC01685,0.999999997183815,0.0641568417347414,0.106613869557521
AL354702.2,0.999999972287356,0.521673671327264,0.186550479806829
AL356055.1,0.999999972564335,0.999999974927059,0.738741948231094
BMP8B,0.99999999371574,0.0103511103174963,0.0104620714446755
OXCT2,0.999999995193765,0.17533152910441,0.136576126790623
AL033527.3,0.999999991750773,0.0370084138669516,0.0776187407051565
TMCO2,0.999999978243008,0.217873145519932,0.0211575056478985
AL031985.3,0.999999992217966,0.114667784213617,0.158020631052721
AL356379.2,0.999999974060679,0.20050930917744,0.209725461112498
AL031289.2,0.999999989293839,0.0525538308342882,0.189260008689103
AL391730.2,0.999999962289988,0.419529189848534,0.237011077295393
AC093151.8,0.99999998251687,0.464191363664556,0.349390513071073
AC093151.2,0.999999985675644,0.0048981268280694,0.0310893377080244
EDN2,0.999999975004478,0.999999974846105,0.999999981075031
AL158216.1,0.999999978662203,0.341182276440402,0.0229498304079029
CLDN19,0.999999966979465,0.327928116976941,0.11029210258208
TIE1,0.999999991776571,0.0742727503496857,0.0060149335022754
MPL,0.999999992534538,0.0281086526322332,0.0445346992824144
CDC20,0.999999993387534,0.134568943888767,0.0488217678492837
AL139289.1,0.999999974078895,0.999999973453723,0.999999947611111
HYI-AS1,0.999999990335614,0.0599225735013384,0.0618129826352636
ARTN,0.999999989341158,0.0417348470098713,0.200226386376238
B4GALT2,0.999999983885478,0.0372878866979241,0.0191254932680017
SLC6A9,0.999999990060048,0.368693466897112,0.353625529191376
AL139220.2,0.999999987711311,0.0045694623392069,0.0970557991505411
BEST4,0.999999949935855,0.4995468811952,0.376191016956731
TCTEX1D4,0.999999988455263,0.0029911899239155,0.0100778099559987
LINC01144,0.99999999301029,0.0062299291512367,0.0829276293641332
HPDL,0.999999987209139,0.0166319036795019,0.0388280803102195
CCDC17,0.999999989910206,0.0047080184252722,0.0268011527010631
TSPAN1,0.999999996471569,0.0108450509332123,0.14546495615373
LINC01398,0.999999977103711,0.0519371706466449,0.0433949519446468
DMBX1,0.999999980181193,0.371854447489421,0.314025199056722
TMEM275,0.999999976426278,0.999999958176888,0.673160664722708
TEX38,0.999999990034588,0.0309952850142514,0.0703373477989421
CYP4B1,0.999999976575153,0.325637299471351,0.023699876100252
CYP4Z1,0.999999983715162,0.090147118629993,0.0622019603369545
CYP4A22-AS1,0.999999971547794,0.318884519372067,0.205602219101886
TAL1,0.999999991708103,0.139460581300511,0.171224933298054
FOXD2-AS1,0.999999982642982,0.167634322584938,0.0229391786395509
TRABD2B,0.999999985675644,0.204022254059524,0.156771907185726
LINC02794,0.999999961736713,0.485832653375689,0.0442461659847507
SLC5A9,0.999999974060679,0.0115942293785634,0.0111884713022319
AL645507.1,0.99999998564053,0.999999954793192,0.999999948488764
AL590432.1,0.999999971698277,0.570061796713097,0.471278026294089
ELAVL4,0.99999999779235,0.0521219273337595,0.0126297075872448
AL162430.2,0.999999993719072,0.0985063527703164,0.018658441940853
TTC39A-AS1,0.999999980176783,0.247553652757436,0.500769464520781
AC104170.2,0.999999996281177,0.0486050521655395,0.0837233163248082
RAB3B,0.999999987058564,0.0603779870822101,0.252747111135608
TXNDC12-AS1,0.999999978677715,0.627081567106548,0.111667357611052
AL513218.1,0.999999981539554,0.283194308807026,0.679997323374577
ZYG11A,0.999999995346474,0.090114788276069,0.156982968091844
PODN,0.999999988833219,0.212573650471133,0.259859728791306
AL445183.1,0.999999984498691,0.999999967321504,0.488217841897848
SLC1A7,0.999999996913672,0.0897685712207098,0.0661709375404764
AL606760.1,0.999999991195174,0.0660961267852728,0.0022014076737651
AC119428.2,0.999999972565444,0.0518646631993651,0.206848764334814
GLIS1,0.999999979467811,0.726032394712032,0.618376694775098
LDLRAD1,0.999999955573453,0.307841368099212,0.297226850617258
SSBP3-AS1,0.999999993582786,0.057767988894225,0.0330440539953425
AL161644.1,0.999999994644095,0.0881571803393589,0.0433529583456704
AC099796.2,0.999999984495147,0.261917353188328,0.229619052903708
